venue,name,lati,long,brand,country,time
3fd66200f964a52032f01ee3,951582,34.085354,-118.383737,Gay Bar,US,20120404
3fd66200f964a52032f01ee3,191592,34.085354,-118.383737,Gay Bar,US,20120404
3fd66200f964a52032f01ee3,85140,34.085354,-118.383737,Gay Bar,US,20120404
3fd66200f964a52035e41ee3,113862,40.731698,-73.989227,Music Venue,US,20120403
3fd66200f964a52035e41ee3,20580,40.731698,-73.989227,Music Venue,US,20120404
3fd66200f964a52035e41ee3,388402,40.731698,-73.989227,Music Venue,US,20120404
3fd66200f964a52035e41ee3,113862,40.731698,-73.989227,Music Venue,US,20120404
3fd66200f964a52040f01ee3,951582,34.085734,-118.383227,Gay Bar,US,20120404
3fd66200f964a52040f01ee3,85140,34.085734,-118.383227,Gay Bar,US,20120404
3fd66200f964a52040f01ee3,382614,34.085734,-118.383227,Gay Bar,US,20120404
3fd66200f964a52080ee1ee3,182911,34.090766,-118.387946,Rock Club,US,20120403
3fd66200f964a52080ee1ee3,178553,34.090766,-118.387946,Rock Club,US,20120404
3fd66200f964a52080ee1ee3,95621,34.090766,-118.387946,Rock Club,US,20120404
3fd66200f964a520bbf11ee3,120236,38.91793,-77.023665,Music Venue,US,20120403
3fd66200f964a520bbf11ee3,254905,38.91793,-77.023665,Music Venue,US,20120404
3fd66200f964a520bbf11ee3,108507,38.91793,-77.023665,Music Venue,US,20120404
3fd66200f964a520d7f11ee3,258697,40.753728,-73.983688,Park,US,20120404
3fd66200f964a520d7f11ee3,1670980,40.753728,-73.983688,Park,US,20120404
3fd66200f964a520d7f11ee3,2123469,40.753728,-73.983688,Park,US,20120404
3fd66200f964a520def11ee3,223928,40.735282,-73.990403,Park,US,20120403
3fd66200f964a520def11ee3,836336,40.735282,-73.990403,Park,US,20120403
3fd66200f964a520def11ee3,311467,40.735282,-73.990403,Park,US,20120403
3fd66200f964a520def11ee3,39789,40.735282,-73.990403,Park,US,20120404
40b28c80f964a52037f81ee3,302810,42.347227,-71.095858,Rock Club,US,20120404
40b28c80f964a52037f81ee3,265993,42.347227,-71.095858,Rock Club,US,20120404
40b28c80f964a52037f81ee3,174220,42.347227,-71.095858,Rock Club,US,20120404
40b68100f964a5207d001fe3,871111,40.742188,-73.987924,Park,US,20120403
40b68100f964a5207d001fe3,871111,40.742188,-73.987924,Park,US,20120404
40b68100f964a5207d001fe3,271915,40.742188,-73.987924,Park,US,20120404
41059b00f964a520850b1fe3,792715,37.616424,-122.386279,Airport,US,20120403
41059b00f964a520850b1fe3,58137,37.616424,-122.386279,Airport,US,20120403
41059b00f964a520850b1fe3,129284,37.616424,-122.386279,Airport,US,20120403
41059b00f964a520850b1fe3,123234,37.616424,-122.386279,Airport,US,20120403
41059b00f964a520850b1fe3,122207,37.616424,-122.386279,Airport,US,20120404
41059b00f964a520850b1fe3,226395,37.616424,-122.386279,Airport,US,20120404
41059b00f964a520850b1fe3,168595,37.616424,-122.386279,Airport,US,20120404
41059b00f964a520850b1fe3,44822,37.616424,-122.386279,Airport,US,20120404
41059b00f964a520850b1fe3,161081,37.616424,-122.386279,Airport,US,20120404
41059b00f964a520850b1fe3,21233,37.616424,-122.386279,Airport,US,20120404
41059b00f964a520850b1fe3,39218,37.616424,-122.386279,Airport,US,20120404
41102700f964a520d60b1fe3,48489,40.750614,-73.988564,Department Store,US,20120403
41102700f964a520d60b1fe3,565375,40.750614,-73.988564,Department Store,US,20120403
41102700f964a520d60b1fe3,258697,40.750614,-73.988564,Department Store,US,20120403
411c0480f964a5201a0c1fe3,173400,39.877007,-75.242443,Airport,US,20120403
411c0480f964a5201a0c1fe3,1439967,39.877007,-75.242443,Airport,US,20120403
411c0480f964a5201a0c1fe3,1423308,39.877007,-75.242443,Airport,US,20120403
411c0480f964a5201a0c1fe3,68538,39.877007,-75.242443,Airport,US,20120404
411c0480f964a5201a0c1fe3,122207,39.877007,-75.242443,Airport,US,20120404
411c0480f964a5201a0c1fe3,173400,39.877007,-75.242443,Airport,US,20120404
411c0480f964a5201a0c1fe3,170716,39.877007,-75.242443,Airport,US,20120404
411c0480f964a5201a0c1fe3,194177,39.877007,-75.242443,Airport,US,20120404
412d2800f964a520df0c1fe3,71395,40.771426,-73.973501,Park,US,20120403
412d2800f964a520df0c1fe3,49125,40.771426,-73.973501,Park,US,20120403
412d2800f964a520df0c1fe3,1670980,40.771426,-73.973501,Park,US,20120403
41326e00f964a52038151fe3,1369619,36.12219,-115.170064,Casino,US,20120403
41326e00f964a52038151fe3,220681,36.12219,-115.170064,Casino,US,20120403
41326e00f964a52038151fe3,235633,36.12219,-115.170064,Casino,US,20120403
41326e00f964a5208c141fe3,966862,36.095407,-115.175343,Casino,US,20120404
41326e00f964a5208c141fe3,1487834,36.095407,-115.175343,Casino,US,20120404
41326e00f964a5208c141fe3,629024,36.095407,-115.175343,Casino,US,20120404
41326e00f964a5208c141fe3,872180,36.095407,-115.175343,Casino,US,20120404
41326e00f964a5208c141fe3,872180,36.095407,-115.175343,Casino,US,20120404
41326e00f964a5209f141fe3,170073,36.121566,-115.175171,Casino,US,20120404
41326e00f964a5209f141fe3,171380,36.121566,-115.175171,Casino,US,20120404
41326e00f964a5209f141fe3,170073,36.121566,-115.175171,Casino,US,20120404
